# Id_interactions,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,label
12601,268642,8,0,28,2,0,0,5,0,0,1,0,0,0,2,1
28641,433167,24,0,146,1,0,22,0,0,14,0,0,4,0,3,1
26333,471107,28,0,200,1,0,32,0,0,14,0,0,8,0,3,1
28642,663923,243,25,61,0,17,0,41,0,10,0,4,0,1,1,1
26434,436175,24,1,87,1,0,20,0,0,10,0,0,6,0,2,1
26487,434365,22,1,96,1,0,20,0,0,10,0,0,6,0,2,1
23221,223167,0,12,2,0,1,0,1,0,0,0,0,0,0,1,1
12663,141218,0,0,0,0,11,0,0,0,0,0,0,0,0,1,1
12704,141218,0,0,0,0,11,0,0,0,0,0,0,0,0,1,1
12705,194778,3,0,13,0,0,0,3,0,0,0,1,0,0,2,1
12875,141218,0,0,0,0,11,0,0,0,0,0,0,0,0,1,1
12898,194778,3,0,13,0,0,0,3,0,0,0,1,0,0,2,1
12919,199648,3,0,13,0,0,0,3,0,0,0,1,0,0,2,1
12991,141218,0,0,0,0,11,0,0,0,0,0,0,0,0,1,1
12992,192343,3,0,14,0,0,0,3,0,0,0,0,0,0,2,1
13053,141218,0,0,0,0,11,0,0,0,0,0,0,0,0,1,1
13054,141218,0,0,0,0,11,0,0,0,0,0,0,0,0,1,1
12949,268759,1,28,1,0,14,0,5,0,0,2,0,1,0,1,1
12950,180510,2,0,5,1,0,0,0,0,0,0,2,0,0,2,1
13119,1022328,19,0,14,0,0,2,0,0,1,0,0,3,0,1,1
14588,1057997,17,0,12,0,0,2,0,0,1,0,0,2,0,1,1
15204,980709,20,0,19,0,0,4,0,0,1,0,0,6,0,1,1
15436,1057997,17,0,12,0,0,2,0,0,1,0,0,2,0,1,1
22479,1075824,19,0,14,0,0,2,0,0,1,0,0,3,0,1,1
22520,1046104,19,0,14,0,0,2,0,0,1,0,0,3,0,1,1
22521,974766,20,0,18,0,0,4,0,0,1,0,0,6,0,1,1
