IDS,faa,fna,xls,contigs
470.3583,-1,-1,-1,-1
470.3582,-1,-1,-1,-1
470.3581,-1,-1,-1,-1
470.3580,-1,-1,-1,-1
470.3579,-1,-1,-1,-1
470.3577,-1,-1,-1,-1
470.3576,-1,-1,-1,-1
470.3215,-1,-1,-1,-1
470.3214,-1,-1,-1,-1
470.3213,-1,-1,-1,-1
470.3212,-1,-1,-1,-1
287.2998,-1,-1,-1,-1
6666666.189485,-1,-1,-1,-1
6666666.189484,-1,-1,-1,-1
470.2032,-1,-1,-1,-1
470.2031,-1,-1,-1,-1
470.2030,-1,-1,-1,-1
470.2029,-1,-1,-1,-1
6666666.165864,-1,-1,-1,-1
6666666.165863,-1,-1,-1,-1
6666666.165862,-1,-1,-1,-1
6666666.162829,-1,-1,-1,-1
6666666.162828,-1,-1,-1,-1
6666666.158498,-1,-1,-1,-1
470.1189,-1,-1,-1,-1
470.1188,-1,-1,-1,-1
470.1183,-1,-1,-1,-1
470.1182,-1,-1,-1,-1
470.1181,-1,-1,-1,-1
470.1179,-1,-1,-1,-1
470.1140,-1,-1,-1,-1
470.1139,-1,-1,-1,-1
470.1138,-1,-1,-1,-1
470.1137,-1,-1,-1,-1
470.1136,-1,-1,-1,-1
470.1135,-1,-1,-1,-1
470.1134,-1,-1,-1,-1
470.1133,-1,-1,-1,-1
470.1132,-1,-1,-1,-1
470.1131,-1,-1,-1,-1
470.1130,-1,-1,-1,-1
470.1129,-1,-1,-1,-1
470.1128,-1,-1,-1,-1
470.1127,-1,-1,-1,-1
470.1126,-1,-1,-1,-1
470.1125,-1,-1,-1,-1
470.1124,-1,-1,-1,-1
470.1123,-1,-1,-1,-1
470.1122,-1,-1,-1,-1
470.1121,-1,-1,-1,-1
470.1120,-1,-1,-1,-1
470.1119,-1,-1,-1,-1
470.1118,-1,-1,-1,-1
470.1117,-1,-1,-1,-1
470.1116,-1,-1,-1,-1
470.1115,-1,-1,-1,-1
470.1114,-1,-1,-1,-1
470.1113,-1,-1,-1,-1
470.1112,-1,-1,-1,-1
470.1111,-1,-1,-1,-1
6666666.143760,-1,-1,-1,-1
6666666.143759,-1,-1,-1,-1
6666666.143758,-1,-1,-1,-1
6666666.143754,-1,-1,-1,-1
6666666.143753,-1,-1,-1,-1
6666666.143752,-1,-1,-1,-1
6666666.143751,-1,-1,-1,-1
6666666.143750,-1,-1,-1,-1
6666666.143749,-1,-1,-1,-1
6666666.143711,-1,-1,-1,-1
6666666.134608,-1,-1,-1,-1
6666666.132517,-1,-1,-1,-1
6666666.132515,-1,-1,-1,-1
6666666.132514,-1,-1,-1,-1
6666666.132513,-1,-1,-1,-1
6666666.132512,-1,-1,-1,-1
6666666.132511,-1,-1,-1,-1
6666666.132510,-1,-1,-1,-1
6666666.132494,-1,-1,-1,-1
6666666.132493,-1,-1,-1,-1
6666666.132175,-1,-1,-1,-1
6666666.117737,.xls,.faa,.fna,-1
927666.26,.fna,.xls,.faa,-1
6666666.116757,-1,-1,-1,-1
6666666.116755,-1,-1,-1,-1
6666666.116754,-1,-1,-1,-1
6666666.116752,-1,-1,-1,-1
6666666.116751,-1,-1,-1,-1
6666666.116749,-1,-1,-1,-1
6666666.116748,-1,-1,-1,-1
6666666.116746,-1,-1,-1,-1
6666666.116745,-1,-1,-1,-1
6666666.116743,-1,-1,-1,-1
6666666.116742,-1,-1,-1,-1
6666666.116740,-1,-1,-1,-1
6666666.116736,-1,-1,-1,-1
6666666.116735,-1,-1,-1,-1
6666666.116734,-1,-1,-1,-1
6666666.116732,-1,-1,-1,-1
6666666.116730,-1,-1,-1,-1
6666666.116160,-1,-1,-1,-1
6666666.116159,-1,-1,-1,-1
6666666.116158,-1,-1,-1,-1
287.1317,-1,-1,-1,-1
287.1316,-1,-1,-1,-1
287.1315,-1,-1,-1,-1
1280.2201,-1,-1,-1,-1
1280.2200,-1,-1,-1,-1
1280.2199,-1,-1,-1,-1
1280.2198,-1,-1,-1,-1
1280.2197,-1,-1,-1,-1
1280.2196,-1,-1,-1,-1
1280.2195,-1,-1,-1,-1
1280.2193,-1,-1,-1,-1
1280.2192,-1,-1,-1,-1
1280.2191,-1,-1,-1,-1
1280.2190,-1,-1,-1,-1
1280.2189,-1,-1,-1,-1
1280.2188,-1,-1,-1,-1
1280.2187,-1,-1,-1,-1
6666666.105490,-1,-1,-1,-1
6666666.105488,-1,-1,-1,-1
6666666.105487,-1,-1,-1,-1
6666666.100469,-1,-1,-1,-1
6666666.81253,-1,-1,-1,-1
6666666.81250,-1,-1,-1,-1
6666666.81249,-1,-1,-1,-1
6666666.81247,-1,-1,-1,-1
6666666.81246,-1,-1,-1,-1
6666666.81244,-1,-1,-1,-1
6666666.81243,-1,-1,-1,-1
6666666.81240,-1,-1,-1,-1
6666666.81239,-1,-1,-1,-1
6666666.81237,-1,-1,-1,-1
6666666.81236,-1,-1,-1,-1
6666666.81228,-1,-1,-1,-1
6666666.81226,-1,-1,-1,-1
6666666.81219,-1,-1,-1,-1
6666666.81217,-1,-1,-1,-1
6666666.81214,-1,-1,-1,-1
6666666.81187,-1,-1,-1,-1
6666666.81186,-1,-1,-1,-1
6666666.81182,-1,-1,-1,-1
6666666.81181,-1,-1,-1,-1
6666666.81179,-1,-1,-1,-1
6666666.81178,-1,-1,-1,-1
6666666.81175,-1,-1,-1,-1
6666666.81174,-1,-1,-1,-1
6666666.81045,-1,-1,-1,-1
6666666.81044,-1,-1,-1,-1
6666666.81043,-1,-1,-1,-1
6666666.81042,-1,-1,-1,-1
6666666.81041,-1,-1,-1,-1
6666666.81040,-1,-1,-1,-1
6666666.81039,-1,-1,-1,-1
6666666.81038,-1,-1,-1,-1
6666666.81037,-1,-1,-1,-1
6666666.81036,-1,-1,-1,-1
6666666.81035,-1,-1,-1,-1
6666666.81034,-1,-1,-1,-1
6666666.81033,-1,-1,-1,-1
6666666.81032,-1,-1,-1,-1
6666666.80922,-1,-1,-1,-1
6666666.80921,-1,-1,-1,-1
6666666.80919,-1,-1,-1,-1
6666666.80918,-1,-1,-1,-1
6666666.80917,-1,-1,-1,-1
6666666.80916,-1,-1,-1,-1
6666666.80915,-1,-1,-1,-1
